date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_5.8.2	164254	31283	19628	9576	3423	1902	1100	1897	53
19.10.2017_5.8.2	46927	47636	43124	27924	7982	20843	5058	26127	50
19.10.2017_5.8.3	27003	18249	18327	10355	6769	5063	3409	15463	57
19.10.2017_5.8.4	7791	12064	13005	6844	13319	8043	2184	48434	63
19.10.2017_5.8.5	7856	21471	1544	14979	6471	4337	3221	41848	60
19.10.2017_5.8.6	55809	21701	32187	7441	2694	4562	4588	32773	67
19.10.2017_5.8.7	14006	23003	24277	29373	16253	5019	4080	26906	63
19.10.2017_5.8.8	5917	9149	14503	3695	16242	6783	4884	41543	60
19.10.2017_5.8.9	9809	6957	41085	11223	6543	3266	2171	33706	60
19.10.2017_5.8.10	6069	10073	5076	6059	9685	8163	4499	52043	54
19.10.2017_5.8.11	29306	12136	25802	14269	7268	11430	6737	66934	64
19.10.2017_5.8.12	41917	14782	20804	2950	13912	22042	9820	72694	74
19.10.2017_5.8.13	66938	20095	31072	28197	6847	13604	5314	84601	78
19.10.2017_5.8.14	8237	16062	7237	7693	9502	9983	4104	86932	84
19.10.2017_5.8.15	101026	2431	2076	5929	590	1056	599	9089	83
19.10.2017_5.8.16	3216	8533	8628	62439	9283	7361	3216	44958	78
19.10.2017_5.8.17	54389	19670	21877	20601	10126	5151	10469	65135	67
19.10.2017_5.8.18	24863	18995	20233	6201	4685	6072	7167	62408	63
19.10.2017_5.8.19	400702	93651	3246	10606	4881	11110	9265	21142	57
19.10.2017_5.8.20	246603	14366	987	4106	2631	3868	2392	3445	57
19.10.2017_5.8.21	90086	20947	5085	10815	3408	4387	1214	6169	61
19.10.2017_5.8.22	15669	27949	942	7681	2757	6834	4301	32121	64
19.10.2017_5.8.23	136951	13683	3852	3182	9950	4647	865	4932	67
19.10.2017_5.8.24	466868	298674	72641	137114	157111	126303	35332	8511	74
19.10.2017_5.8.25	593574	41027	11018	7305	2526	1272	532	317	74
19.10.2017_5.8.26	0	0	0	0	0	0	0	0	74
19.10.2017_5.8.27	1	0	0	0	0	0	0	6	74
19.10.2017_5.8.28	873512	379365	319695	243806	67023	140816	298399	90456	74
19.10.2017_5.8.29	1502808	2752418	830738	818927	1055546	591980	503724	1484842	74
19.10.2017_5.8.30	1088559	318517	108956	207646	65118	151931	163947	674677	74
