date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_3.18.10	671017	323156	110860	132979	16928	85611	16388	274069	37
19.10.2017_3.18.11	538743	429454	75052	24646	53161	32656	4914	186139	53
19.10.2017_3.18.12	1578263	241316	55116	109808	17730	145931	19991	379783	50
19.10.2017_3.18.13	1180989	240307	133215	205142	178876	120686	44203	108503	50
19.10.2017_3.18.14	52889	6897	4427	590	1028	2621	437	8491	74
19.10.2017_3.18.15	406193	126155	67047	7225	41918	26042	11787	132512	100
19.10.2017_3.18.16	43731	12922	1801	611	2972	1265	845	7464	96
19.10.2017_3.18.17	220306	67783	31534	14240	4515	14209	1058	30248	100
19.10.2017_3.18.18	764394	42850	25058	62392	59498	16063	8458	141648	93
19.10.2017_3.18.19	1155246	752624	518654	285671	72557	477380	71133	336468	81
19.10.2017_3.18.20	434284	238513	23698	13262	19006	18927	43668	55820	81
19.10.2017_3.18.20	1125602	171342	35820	6636	13546	24063	13876	1582	81
19.10.2017_3.18.21	674170	309824	57269	54022	4890	17056	9261	95360	81
19.10.2017_3.18.22	674595	22383	744	45519	42932	29027	16031	12800	61
19.10.2017_3.18.23	624319	214009	24245	36250	110023	122980	21272	46591	80
19.10.2017_3.18.24	40351	16468	5785	3881	2321	1216	446	269	80
19.10.2017_3.18.25	3136866	83936	41853	41334	88537	146815	44397	39597	80
19.10.2017_3.18.26	1642562	420137	239878	47177	90064	157647	56322	20067	80
19.10.2017_3.18.27	1787444	231144	38643	7240	73143	46018	19550	12277	80
19.10.2017_3.18.28	834160	36806	10962	3576	3910	3324	1433	796	80
19.10.2017_3.18.29	1279545	138653	21559	30881	21818	37497	5840	3369	80
