date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_5.8.42	399525	37213	11381	22729	7653	7443	634	98949	74
19.10.2017_5.8.43	371305	10328	1195	4172	3149	870	677	31012	83
19.10.2017_5.8.44	555852	66552	23279	13278	18656	11325	2644	1779	81
19.10.2017_5.8.45	354803	49699	4262	10363	4861	2752	500	796	81
19.10.2017_5.8.46	1065658	248304	31044	64562	45577	67699	7963	5107	81
19.10.2017_5.8.47	76	13	7	4	3	1	1	1	81
19.10.2017_5.8.48	0	1	0	0	0	0	0	0	81
19.10.2017_5.8.49	1	1	0	0	0	0	1	53	81
19.10.2017_5.8.50	438680	292031	169681	98796	39710	57098	42445	130457	81
19.10.2017_5.8.51	1382445	752847	22761	243938	69258	109007	200778	224692	81
