date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_4.50.10	351460	30869	10345	12970	3261	7945	1082	111760	53
19.10.2017_4.50.11	360856	1046840	56733	69489	10431	120800	6202	1061253	63
19.10.2017_4.50.12	259335	678863	27273	204798	5769	176989	2732	1048632	70
19.10.2017_4.50.13	1390944	325547	28970	117026	3905	177762	3127	1021142	84
19.10.2017_4.50.14	225924	595151	38922	174543	3378	192339	2151	982213	91
19.10.2017_4.50.15	617240	279371	44044	100883	6929	167836	2233	965391	94
19.10.2017_4.50.16	402485	570379	27775	113604	6215	175828	1540	907787	100
19.10.2017_4.50.17	44540	455768	140286	23855	7842	67659	1281	726320	100
19.10.2017_4.50.18	1689969	1778579	113956	574576	1032324	2048774	679297	1291350	100
19.10.2017_4.50.19	714512	509420	1548	937159	78631	460694	114753	628217	100
19.10.2017_4.50.20	1073312	964552	115179	344474	57367	482086	99044	358589	100
19.10.2017_4.50.21	189414	102761	19866	113191	23149	18847	20619	80702	100
19.10.2017_4.50.22	1512696	509262	133313	190819	131842	452395	162787	677903	100
19.10.2017_4.50.23	698941	239456	121025	375907	162848	294026	244201	330074	100
