date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_5.19.51	551011	189189	31161	22336	4676	17391	2953	121475	57
19.10.2017_5.19.52	352676	185115	44376	76093	11975	56218	1400	236093	47
19.10.2017_5.19.53	524993	1460665	205657	80094	36439	293596	3828	669174	54
19.10.2017_5.19.54	972125	180842	178868	21114	39627	110373	8544	431666	47
19.10.2017_5.19.55	212847	14432	3848	8456	5052	6769	3276	21353	60
19.10.2017_5.19.56	71056	10139	8551	6709	1719	2220	2585	11392	80
19.10.2017_5.19.57	897502	79506	61035	30577	29779	5921	18306	98095	67
19.10.2017_5.19.58	311666	64798	77846	4649	4397	48197	852	160725	44
19.10.2017_5.19.59	945123	587415	275890	49774	11822	226308	3772	694423	47
19.10.2017_5.20.0	1167112	655606	93036	6178	8419	123848	4921	337828	47
19.10.2017_5.20.1	437228	110906	34296	11705	5220	48487	1522	141838	60
19.10.2017_5.20.2	237527	33504	104402	1347	4468	26774	1283	144396	94
19.10.2017_5.20.3	692400	392581	137102	47664	19115	102364	3197	540931	87
19.10.2017_5.20.4	2292372	367010	331231	29814	4483	150011	5480	513320	80
19.10.2017_5.20.5	814046	168766	315075	17836	7567	201146	2486	509642	83
19.10.2017_5.20.6	1844997	246604	207700	79559	14265	98412	4990	533981	88
19.10.2017_5.20.7	427575	762877	168895	42053	11829	79784	7638	527371	87
19.10.2017_5.20.8	122561	138211	65780	6499	11735	31136	802	144884	74
19.10.2017_5.20.9	1209847	507513	226343	49576	23645	117574	5783	573771	69
19.10.2017_5.20.10	233221	230774	165860	30788	11163	195046	3904	531406	56
19.10.2017_5.20.11	533827	178087	78790	61455	13463	102603	3928	531829	69
19.10.2017_5.20.12	121859	18940	5395	7825	1485	9606	625	88417	91
19.10.2017_5.20.13	631005	62472	5113	2597	3788	2784	4630	15766	100
19.10.2017_5.20.14	776140	1401813	120325	131226	116540	23274	19191	285734	78
19.10.2017_5.20.15	252978	29789	5376	11746	2003	1441	429	44575	38
19.10.2017_5.20.16	76038	33123	6189	16669	9684	1058	955	71668	11
19.10.2017_5.20.17	1642972	70396	7406	20769	52966	7760	2437	179877	1
19.10.2017_5.20.18	429024	391312	137373	24132	53747	24990	30172	428981	1
19.10.2017_5.20.19	241564	25410	12973	26821	26107	23352	45622	32066	13
19.10.2017_5.20.20	465363	25905	26849	5084	7089	5654	8872	18487	43
19.10.2017_5.20.21	143088	68555	8200	2858	15682	12453	3045	98672	61
19.10.2017_5.20.22	200091	23443	26158	4886	6809	2045	745	47050	69
19.10.2017_5.20.23	1936617	458304	352907	73405	142922	134504	12757	685420	67
19.10.2017_5.20.24	1090283	58099	71380	10294	7597	7798	4903	134463	57
19.10.2017_5.20.25	1841602	282565	51551	60065	42682	20622	5901	522238	51
19.10.2017_5.20.26	385955	8372	4757	15394	4318	2081	1445	23632	38
19.10.2017_5.20.27	935080	116624	19322	9249	3480	5016	2904	49250	48
19.10.2017_5.20.28	261797	445873	169964	63537	35380	49651	41856	300348	29
19.10.2017_5.20.29	227884	301001	13330	44842	15414	30951	12275	49852	30
19.10.2017_5.20.30	484359	684210	103413	38777	33028	19768	15536	305485	40
19.10.2017_5.20.31	37840	61789	26967	17042	14569	31883	23985	63047	24
19.10.2017_5.20.32	1461471	232506	18363	44131	41656	26185	30099	40421	51
19.10.2017_5.20.33	2408373	98001	19361	24049	6858	12896	9921	63050	53
19.10.2017_5.20.34	806100	284785	8850	15633	16480	12194	12730	36092	51
19.10.2017_5.20.35	799551	79038	24322	17625	14954	4638	1928	75461	56
19.10.2017_5.20.36	2010390	828273	183514	92222	58801	23506	13471	625744	30
19.10.2017_5.20.37	223110	25959	2615	17878	4246	1826	334	30339	14
19.10.2017_5.20.38	274317	51335	4896	7493	4411	1711	1022	37597	7
19.10.2017_5.20.39	255963	24034	10274	6773	7831	6555	835	60399	1
19.10.2017_5.20.40	1209463	92092	6004	15746	15924	6427	1490	101643	17
19.10.2017_5.20.41	390604	205649	67270	37797	67061	12655	9593	412479	29
19.10.2017_5.20.42	201896	170906	52835	42994	28884	13997	4016	258348	29
19.10.2017_5.20.43	7524	21786	6816	9605	10115	9006	3743	338731	38
19.10.2017_5.20.44	669038	129450	21853	32147	12181	7289	11959	332652	43
19.10.2017_5.20.45	2301341	217052	38935	15161	5583	17465	21123	47779	38
19.10.2017_5.20.46	1062242	264774	269525	44232	20241	23712	35429	92848	43
19.10.2017_5.20.46	294746	88507	89470	5905	10112	6407	14795	39383	41
19.10.2017_5.20.47	273607	61475	16490	2402	3461	9449	8977	26767	17
19.10.2017_5.20.48	851890	705398	86022	24341	67521	22374	47111	114414	30
19.10.2017_5.20.49	551209	533255	37536	11147	27983	29314	40274	93272	21
19.10.2017_5.20.50	760011	128532	30210	41876	10912	50376	46645	107436	24
19.10.2017_5.20.51	731533	984787	412581	215073	156469	70047	141889	67702	48
19.10.2017_5.20.52	215355	427535	48228	52453	33447	17110	8517	40285	37
19.10.2017_5.20.53	1131116	246064	55716	20540	32456	13328	14342	21201	38
19.10.2017_5.20.54	1702118	71786	68376	9829	12555	7854	5799	15016	37
19.10.2017_5.20.55	944986	824479	298575	452754	564434	839950	544366	882662	16
19.10.2017_5.20.56	170074	505868	31438	131007	100773	333757	198886	326673	16
19.10.2017_5.20.57	119823	1100841	46359	587746	196346	414937	260807	889736	16
19.10.2017_5.20.58	718792	1077169	33563	450089	55221	440775	221234	790347	16
19.10.2017_5.20.59	579618	444546	236322	294357	188057	457202	170039	572946	16
19.10.2017_5.21.0	1281402	764664	77197	175134	104520	207080	133527	718399	16
