date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	attention	delta_ave	theta_ave	low_alpha_ave	high_alpha_ave	low_beta_ave	high_beta_ave	low_gamma_ave	mid_gamma_ave	attention_ave
19.10.2017_8.4.25	1703638	435186	72144	38043	28158	100696	6090	845886	530.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Infinity
19.10.2017_8.4.26	240732	348247	83031	86642	11037	85603	2110	483858	54473.2108459472656	255.9261016845703	104.42672729492188	64.3210678100586	66.82067108154297	132.3805694580078	11.747401237487793	402.76019287109375	107.0
19.10.2017_8.4.27	400947	199851	88738	73474	249618	88646	88793	81487	53270.02098083496094	230.35355377197266	112.3170051574707	105.51364517211914	46.433674812316895	122.44966125488281	7.844675302505493	316.55689239501953	80.0
19.10.2017_8.4.28	1114591	379110	53698	114765	63605	123375	80756	292857	53217.1263682047526	192.72955067952475	117.70450083414714	111.80369313557942	229.03309440612793	120.47418467203777	63.21043539047241	223.9494857788086	71.0
19.10.2017_8.4.29	227430	317745	44697	110850	46370	164650	61936	391689	53240.2397346496582	200.28149223327637	107.70075607299805	132.4478702545166	209.58442163467407	130.91196250915527	86.95283234119415	202.8106746673584	66.5
19.10.2017_8.4.30	589083	173138	23841	94984	92366	68565	125291	273772	53204.8189811706543	197.59261016845704	99.08914642333984	143.5070327758789	189.70611763000488	148.03789825439452	93.81643304824829	199.54063262939454	63.8
19.10.2017_8.4.31	147488	604209	10193	140850	86789	118873	96001	366946	53197.94903755187988	181.62161254882812	88.30966122945149	146.3971290588379	194.71064154307047	138.38114547729492	119.10047602653503	188.00144322713217	62.0
19.10.2017_8.4.32	61959	199029	14530	19064	25495	25878	15821	53335	53175.51759283883231	206.44140625	77.78394630977085	159.56893375941686	196.38791247776575	140.94109998430525	128.95441716057914	186.09798431396484	60.714285714285715
19.10.2017_8.4.33	891504	2610731	256460	415678	113023	426084	130738	1033591	53155.7241289615631	195.26097679138184	70.67546236515045	143.64129447937012	179.399258852005	127.56382322311401	116.68905693292618	166.00173616409302	59.75
19.10.2017_8.4.34	356407	346209	4476	203349	100890	46937	130589	185018	53165.93351936340332	284.67642381456164	104.11042075686984	205.9576941596137	189.34693166944714	175.6766183641222	132.19062683317395	202.24042468600803	59.0
19.10.2017_8.4.35	824672	3296891	280227	581876	99024	266615	228751	1485854	53159.2366075515747	276.5669891357422	94.33367352485656	219.8167465209961	194.4155725479126	164.27253036499025	144.5626606464386	190.82024879455565	58.4
19.10.2017_8.4.36	2645284	1190005	85862	494767	181639	337819	397162	598325	53165.5826833898371	342.3336264870384	122.67061307213523	289.49051042036575	198.1586506583474	181.22264445911753	172.18634765798396	237.79373758489436	57.90909090909091
19.10.2017_8.4.37	633023	558552	13402	106552	68079	109103	28430	162555	53213.01663478215536	372.13719431559247	122.80729266007741	335.24636205037433	217.67365090052286	203.156223932902	222.72962097326914	241.7163928349813	57.5
19.10.2017_8.4.38	122571	461475	49777	185335	20423	77375	43829	333666	53210.15423011779785	368.7805434006911	114.84373595164372	323.3395432692308	213.3828554887038	198.5629653930664	209.87041271649875	229.07215030376727	57.15384615384615
19.10.2017_8.4.39	1302186	1245195	120341	378533	172740	349515	94610	1126977	53197.57230309077673	361.82419041224887	111.78390397344317	322.6732090541295	201.59833867209298	191.64354051862443	201.0053801195962	224.05474499293737	56.857142857142854
19.10.2017_8.4.40	789672	1409254	251540	478500	33196	361256	12462	1547144	53208.51359901428222	386.5321797688802	115.95081485112509	343.92970377604166	215.56814994812012	209.5217763264974	199.9616936047872	244.89260330200196	56.6
19.10.2017_8.4.41	854922	1032836	37414	764205	5525	455501	10714	1474372	53209.1890491247177	414.1837863922119	131.48255255818367	373.12065505981445	207.02131378650665	226.13090229034424	188.97933581471443	275.63159251213074	56.375
19.10.2017_8.4.42	2412306	1260171	24593	565565	28137	370099	30424	1154853	53210.85125586565803	425.55626543830425	126.92982014487771	409.99591064453125	195.6035743040197	248.08147565056296	179.08736579558428	300.7156558317297	56.1764705882353
19.10.2017_8.4.43	427898	140612	4468	109417	2271	103935	2488	311439	53236.36347654130725	443.0950402153863	121.85051051775615	440.4726799858941	188.44619019826254	261.3494406806098	172.4419835673438	314.559109793769	56.0
19.10.2017_8.4.44	132344	344745	3821	148533	3151	74493	2236	259097	53230.17718013964202	424.12330105430203	115.77055484370182	427.0433004278886	178.80008958515367	254.7859424791838	163.61257763912803	305.80565342150237	55.8421052631579
