date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_4.58.15	52647	100500	15840	16545	3892	3000	6099	778472	30
19.10.2017_4.58.16	437333	102178	20686	12885	11259	6930	1942	783298	13
19.10.2017_4.58.17	546209	91086	31697	22986	12633	7813	4321	760632	24
19.10.2017_4.58.18	1129268	237067	86256	26477	39071	7397	4454	724951	41
19.10.2017_4.58.19	770562	29007	14656	3667	4842	1421	553	203350	34
19.10.2017_4.58.20	213802	101855	82675	13616	22758	25214	2846	666957	48
19.10.2017_4.58.21	174299	131172	10217	21068	24425	4262	3883	696371	60
19.10.2017_4.58.22	76870	36949	5813	8464	8597	2643	2103	745401	34
19.10.2017_4.58.23	915792	202031	35215	13173	17317	30631	4978	692238	53
19.10.2017_4.58.24	767238	204136	80457	29256	30280	16771	3261	1032234	80
19.10.2017_4.58.25	2042471	498957	25160	36085	17972	13217	2799	1134767	63
19.10.2017_4.58.26	262784	90559	13313	2153	11850	8086	748	220322	57
19.10.2017_4.58.27	1862892	468596	114457	70139	34762	22001	8589	868422	67
19.10.2017_4.58.28	169671	72459	12183	7761	5575	7450	2410	79827	38
19.10.2017_4.58.29	1543650	288635	100201	72818	34135	16210	5893	801774	47
19.10.2017_4.58.30	1584019	237484	194195	10727	15343	38303	4872	613211	57
19.10.2017_4.58.31	183714	8134	1739	1124	3069	1601	372	28589	60
19.10.2017_4.58.32	181736	127057	10387	8841	8850	4046	770	146495	88
19.10.2017_4.58.33	1792901	263078	2343	8357	10445	9908	2184	161952	63
19.10.2017_4.58.34	75457	16375	18801	3742	1529	4989	2551	448378	61
19.10.2017_4.58.35	345700	142360	29963	49569	25611	14004	3542	84767	66
19.10.2017_4.58.36	486336	314905	75057	63732	13559	10860	2128	404305	48
19.10.2017_4.58.37	1730515	323653	46043	96937	48565	46236	15686	412565	44
19.10.2017_4.58.38	9564	40831	4365	7844	2813	3586	2625	388104	67
19.10.2017_4.58.39	129671	8623	1997	1144	566	416	287	20703	56
19.10.2017_4.58.40	33666	43751	3749	709	9121	2810	3653	329127	44
19.10.2017_4.58.41	1933187	116240	115435	67112	34099	4434	8014	304015	63
19.10.2017_4.58.42	285601	85870	16395	5001	11542	6807	6694	360218	29
19.10.2017_4.58.43	15961	11633	9102	8053	5310	5121	1603	305069	27
19.10.2017_4.58.44	335596	177723	47631	25080	24962	7559	5637	386757	56
19.10.2017_4.58.44	64793	67094	10660	5907	1649	4299	2392	467783	47
19.10.2017_4.58.45	1345891	283802	27028	68620	36677	16509	2180	798954	67
19.10.2017_4.58.46	169230	35264	4858	6062	2458	1659	260	67769	61
19.10.2017_4.58.47	1636936	919576	47300	33272	26432	15863	3052	1055816	35
19.10.2017_4.58.48	650854	240215	7573	15740	10369	5715	962	270469	24
19.10.2017_4.58.49	1151552	387146	267858	53532	53129	16758	2567	1052829	8
19.10.2017_4.58.50	451356	133235	11868	2234	7260	1649	548	247098	1
19.10.2017_4.58.51	983235	345790	33267	37066	10790	17791	4084	981748	1
19.10.2017_4.58.52	1609980	609592	192488	85099	51207	54309	9609	1004730	3
19.10.2017_4.58.53	655474	67490	60263	26491	21987	8768	1625	276187	23
19.10.2017_4.58.54	1142184	133715	26375	12331	20234	3355	813	286552	37
19.10.2017_4.58.55	639356	175722	22487	12474	15003	18702	4579	280875	47
19.10.2017_4.58.56	1930507	467595	47434	21915	13629	3948	854	280190	57
19.10.2017_4.58.57	2181754	867710	85005	64827	59038	54707	3413	1059740	30
19.10.2017_4.58.58	376534	130157	31190	18691	8049	2154	822	287010	34
19.10.2017_4.58.59	255728	28366	15195	2298	2703	2278	562	66718	34
19.10.2017_4.59.0	1649599	83161	32857	33266	42128	16441	4159	1159754	24
19.10.2017_4.59.1	305258	68447	4052	1817	6184	6123	368	62049	61
19.10.2017_4.59.2	570159	45514	7415	6366	2189	6109	3042	43469	66
19.10.2017_4.59.3	211005	1049000	60483	154292	54174	246815	126301	415104	93
19.10.2017_4.59.4	13982	19672	2299	6404	3998	4671	6414	21160	93
19.10.2017_4.59.5	1412547	847853	91592	51578	219269	352326	242403	320347	93
19.10.2017_4.59.6	1155131	533026	29983	459982	184733	113100	87572	473956	93
19.10.2017_4.59.7	2002432	516300	216929	261470	118465	149157	268236	250720	93
19.10.2017_4.59.8	1984	17728	7568	18154	7789	5479	12505	10379	93
