date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_4.38.5	1290867	303588	77279	19703	7428	109523	1436	767267	41
19.10.2017_4.38.6	168692	221891	82840	7903	5011	38058	535	223546	38
19.10.2017_4.38.7	479313	209768	33235	46920	6893	200244	1408	989442	20
19.10.2017_4.38.8	874579	285821	378366	55410	15464	195402	3768	1320325	43
19.10.2017_4.38.9	461186	669289	36459	11066	13715	191038	1779	975114	41
19.10.2017_4.38.10	1958924	323562	167410	19759	21105	135688	1950	1012835	44
19.10.2017_4.38.11	1512960	577982	19313	41542	10950	195340	2356	1045093	63
19.10.2017_4.38.12	216920	1432139	4908	3509	5616	209904	2145	960064	43
19.10.2017_4.38.13	107112	1488611	11186	6944	8572	196765	3975	940933	27
19.10.2017_4.38.14	517817	240344	204907	27340	14827	213722	3399	1005363	11
19.10.2017_4.38.15	377695	788645	84813	16312	11378	205113	4893	961524	24
19.10.2017_4.38.16	842645	94839	114412	7262	13269	110501	2920	965550	17
19.10.2017_4.38.17	839544	1260781	114421	11548	13992	270839	3439	1128588	47
19.10.2017_4.38.18	802709	295891	173109	13290	4243	187807	2694	960566	57
19.10.2017_4.38.19	360411	206799	140196	41420	13427	193986	1632	995870	53
19.10.2017_4.38.20	381690	59677	17579	5574	2221	34967	2014	225263	70
19.10.2017_4.38.21	385877	826546	115814	18139	11273	143706	2406	900535	67
19.10.2017_4.38.22	768592	342907	227959	15263	5068	185830	4467	883673	60
19.10.2017_4.38.23	65806	470958	63910	2734	2887	143226	1298	943510	54
19.10.2017_4.38.24	200099	48500	44443	8539	3246	17486	448	228704	38
19.10.2017_4.38.25	1252992	319232	118000	6609	7252	239299	2404	876265	17
19.10.2017_4.38.26	1350218	241191	147990	12069	7414	133385	3157	868832	50
19.10.2017_4.38.27	1072504	338676	199004	6988	7576	185097	3617	853972	51
19.10.2017_4.38.28	464972	758225	45216	8522	10550	123917	3316	852766	57
19.10.2017_4.38.29	1956225	341495	148765	19241	31938	125725	4819	843841	54
19.10.2017_4.38.30	267991	1015922	8904	4898	9462	153395	3328	880665	37
19.10.2017_4.38.31	619481	136004	32684	7415	5966	18584	380	205427	16
19.10.2017_4.38.32	644183	464926	60421	7435	2045	171621	2154	802619	1
19.10.2017_4.38.33	974326	696947	11910	3418	3284	154431	1797	848139	10
19.10.2017_4.38.34	610909	37456	12931	1120	8855	30574	667	203465	10
19.10.2017_4.38.35	615029	260430	57825	8809	5023	130835	1321	778865	44
19.10.2017_4.38.36	2299476	69403	202803	21729	6879	155547	4235	848635	77
19.10.2017_4.38.37	497979	687029	8055	7455	3066	132886	1420	827093	91
19.10.2017_4.38.38	825461	261667	226390	12491	9935	57212	1656	805395	88
19.10.2017_4.38.39	1166571	220941	36022	14902	10359	153446	3833	746075	50
19.10.2017_4.38.40	369327	408637	22778	3686	4003	143314	2139	788973	53
19.10.2017_4.38.41	210930	364091	61251	17873	12332	73137	1811	820753	41
19.10.2017_4.38.42	543315	129632	117795	6367	4020	145265	3979	736814	35
