date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_5.16.53	336723	56457	3560	11057	20088	11077	4927	138472	34
19.10.2017_5.16.54	24035	12270	11722	29984	17943	14794	7789	203375	40
19.10.2017_5.16.55	138865	18547	7695	10553	12068	8358	4115	219602	60
19.10.2017_5.16.56	135747	44988	33894	32252	13672	4541	12702	125045	78
19.10.2017_5.16.57	55678	20299	9431	33708	8648	3938	6642	162748	66
19.10.2017_5.16.58	5859	10309	1008	20154	2344	3338	1597	231969	48
19.10.2017_5.16.59	12767	26253	4824	19611	4555	5946	3448	189010	29
19.10.2017_5.17.0	12056	9000	18484	19245	6125	5159	3661	197165	13
19.10.2017_5.17.1	29488	5156	8108	8881	2869	4726	1838	199443	35
19.10.2017_5.17.2	15458	41315	5651	4656	8088	11492	6563	194791	61
19.10.2017_5.17.3	107894	6171	8423	2208	1147	1212	1151	35575	77
19.10.2017_5.17.4	359066	143497	10633	20254	4299	6742	9054	177786	66
19.10.2017_5.17.5	699824	369051	149751	210402	50213	56189	26870	137296	44
19.10.2017_5.17.6	699440	44129	42300	5059	18640	16447	5825	5839	23
19.10.2017_5.17.7	1231598	225831	285715	252948	233549	240007	73865	44765	23
19.10.2017_5.17.8	1216610	118507	20871	42632	25196	23183	11651	11966	29
19.10.2017_5.17.9	239184	463390	171135	188809	102267	172567	29494	149127	41
19.10.2017_5.17.10	780602	733869	84129	36309	48745	37521	31472	39967	75
19.10.2017_5.17.11	1080635	1784625	253205	185204	957849	442350	60772	139354	64
19.10.2017_5.17.12	331830	119654	37632	84824	115069	84719	21807	39468	54
19.10.2017_5.17.13	605023	526263	44863	28825	52474	37162	18062	18104	74
19.10.2017_5.17.14	1277361	369342	269001	726483	478530	635861	464682	326440	48
19.10.2017_5.17.15	1007242	160384	66726	64776	55576	24767	2827	19751	48
19.10.2017_5.17.16	1936783	471622	177795	210224	229847	136002	63286	146676	63
19.10.2017_5.17.17	679080	1468021	359913	287542	282809	101369	22994	64308	57
19.10.2017_5.17.18	158373	1500318	243522	302928	162159	179842	62372	68040	57
19.10.2017_5.17.19	711695	121654	23418	37111	19469	25059	15169	29757	30
19.10.2017_5.17.20	1261627	926191	77723	888518	538054	555870	24619	61091	47
19.10.2017_5.17.21	1529189	343899	64833	42655	23123	24086	40149	42773	47
19.10.2017_5.17.22	469690	301693	68290	47261	19873	62514	72207	18561	47
19.10.2017_5.17.23	1756571	10211	2251	1657	1487	1531	346	1084	57
19.10.2017_5.17.24	60059	11951	973	2375	2447	1409	541	1802	57
19.10.2017_5.17.25	207017	46849	9377	23667	27731	13064	5117	43649	48
19.10.2017_5.17.26	21694	16190	1502	4765	5231	4107	3298	54068	61
19.10.2017_5.17.27	125676	59086	11642	16391	11683	7082	2547	16581	70
19.10.2017_5.17.28	583348	558494	145562	611171	333359	204614	57543	109433	56
19.10.2017_5.17.29	274737	1162602	275477	301954	69714	181681	95729	576508	56
19.10.2017_5.17.30	1521878	970620	221142	661167	99903	130313	151397	194685	56
19.10.2017_5.17.31	2319881	1905060	1167525	703053	894500	866263	410329	1297958	56
19.10.2017_5.17.32	631586	442298	115445	225069	169720	173270	92810	219821	56
19.10.2017_5.17.33	1031879	598560	419811	123357	149582	133362	92940	450358	56
19.10.2017_5.17.34	52086	53627	105661	61026	12202	46402	22159	106025	56
