date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_1.2.53	501599	99851	29063	2948	15244	3604	1747	1109	50
19.10.2017_1.2.54	82877	35472	33085	9682	5509	1991	951	1130	51
19.10.2017_1.2.55	34046	57104	2483	21825	5891	6926	2541	2117	54
19.10.2017_1.2.56	20347	35134	33507	31813	13291	4016	2737	3413	67
19.10.2017_1.2.57	678265	61560	18075	30073	11221	9499	1941	3008	63
19.10.2017_1.2.58	90704	31948	11273	6153	6333	6439	3492	10128	74
19.10.2017_1.2.59	1394451	80145	20814	22395	6861	13988	19688	17380	87
19.10.2017_1.3.0	8551	39794	19593	13149	10078	13496	5390	3239	88
19.10.2017_1.3.1	27474	19969	25228	11627	9415	5303	3511	4837	100
19.10.2017_1.3.2	3521	29853	25833	4142	4895	3760	2853	4183	100
19.10.2017_1.3.3	89903	43242	27342	2676	15143	5450	1568	2650	96
19.10.2017_1.3.4	23441	39120	4926	7626	3586	4680	3292	1675	93
19.10.2017_1.3.5	9984	71978	10478	10496	7262	2834	2245	807	87
19.10.2017_1.3.6	17625	19286	17724	6753	4647	5446	2311	2024	77
19.10.2017_1.3.7	13790	22622	23753	5729	8912	6861	3328	2298	83
19.10.2017_1.3.8	326046	129625	4883	5495	11649	3652	3200	3109	88
19.10.2017_1.3.9	221846	217463	11485	23111	14994	7253	3086	5536	78
19.10.2017_1.3.10	64260	43591	16229	34556	26703	11578	9100	4436	77
19.10.2017_1.3.11	9544	19886	7561	30320	10124	7497	2057	2343	77
19.10.2017_1.3.12	1205904	224243	31241	59479	33611	11007	11997	5558	77
19.10.2017_1.3.13	75875	79517	30074	13563	14467	11073	9125	8354	78
19.10.2017_1.3.14	147439	15782	2814	2120	2681	5106	3521	1803	88
19.10.2017_1.3.15	151572	54548	13858	11904	4990	15356	9753	9495	93
19.10.2017_1.3.16	18985	15553	38055	12211	9541	8555	12057	4124	96
19.10.2017_1.3.17	13717	80569	61523	6321	5756	6159	4003	3315	100
19.10.2017_1.3.18	96461	37121	5560	2206	2910	2635	1406	997	100
19.10.2017_1.3.19	174953	30180	5035	4183	5521	5271	2573	2781	90
19.10.2017_1.3.20	414148	145255	7514	18558	12141	4940	14064	3405	87
19.10.2017_1.3.21	24542	53728	14706	2199	16707	28980	6362	8900	74
19.10.2017_1.3.22	296253	103220	18236	14623	18636	20736	11646	4590	91
19.10.2017_1.3.23	47998	57815	26437	4526	7171	11785	8379	12876	96
19.10.2017_1.3.24	175409	75333	18971	19541	9811	12528	15431	13597	94
19.10.2017_1.3.25	28868	40984	8501	14233	24727	8110	6010	6357	100
19.10.2017_1.3.26	37434	24420	9441	7366	11455	8895	4769	9330	94
19.10.2017_1.3.27	93644	135215	43734	15948	9150	20329	5922	14760	96
19.10.2017_1.3.28	35570	61443	7009	14985	3404	10839	3471	1556	94
19.10.2017_1.3.29	106303	14213	57222	3873	6495	4112	4766	6722	94
19.10.2017_1.3.30	39532	14942	9365	2614	1305	2773	497	908	90
19.10.2017_1.3.31	120853	73310	53714	50226	11455	10288	5547	5092	83
19.10.2017_1.3.32	100750	69556	21546	21788	4615	13437	10377	2786	78
19.10.2017_1.3.33	39930	48857	5857	11545	12926	14791	6959	3954	80
19.10.2017_1.3.34	4722	11982	7374	12132	6611	8248	3333	5868	90
19.10.2017_1.3.35	21872	24457	13347	14268	4448	5423	1479	2943	100
