date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_5.21.11	956977	153503	25100	41154	15587	8370	13331	38379	14
19.10.2017_5.21.12	501677	296778	70663	113756	28256	146974	3015	682958	14
19.10.2017_5.21.13	667366	147141	123372	102632	28345	44720	7135	507572	47
19.10.2017_5.21.14	299143	155242	73503	103952	98582	64681	46529	56348	34
19.10.2017_5.21.15	88421	272344	60645	143988	64523	53771	31573	110888	34
19.10.2017_5.21.16	721850	599291	158657	401758	249226	272342	304611	538180	34
19.10.2017_5.21.17	428863	1077891	109395	501521	205143	295021	186755	402972	34
19.10.2017_5.21.18	838863	788429	211873	1148210	148113	497129	147946	710512	34
19.10.2017_5.21.19	705845	865562	247891	540477	88450	486752	128311	832269	34
