date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_5.49.30	86721	5847	4023	2135	2807	958	799	54437	30
19.10.2017_5.49.31	209097	115088	69376	31793	22765	13067	6764	594327	37
19.10.2017_5.49.32	381410	107073	42463	5391	22234	8060	7540	605474	40
19.10.2017_5.49.33	361899	275369	66536	37474	36497	16118	4364	586685	41
19.10.2017_5.49.34	253997	139290	28179	7894	13260	8061	6214	474039	48
19.10.2017_5.49.35	180102	139715	95058	6156	13398	12054	3418	179686	44
19.10.2017_5.49.36	157568	60402	26833	13673	11444	3646	1640	158787	44
19.10.2017_5.49.37	46062	21946	14468	4089	3282	5568	3014	137057	41
19.10.2017_5.49.38	59458	3782	351	8115	1259	1260	292	36945	48
19.10.2017_5.49.39	155304	77039	11310	2785	4487	4043	729	32115	53
19.10.2017_5.49.40	43945	20076	18733	20363	6232	8002	3545	129642	53
19.10.2017_5.49.41	28490	27882	3225	6752	4717	4447	2429	122424	61
19.10.2017_5.49.42	24213	12660	22833	13376	5947	2481	2468	144319	60
19.10.2017_5.49.43	87400	3745	9767	9897	3826	1648	1342	38698	56
19.10.2017_5.49.44	19749	12388	16467	8862	4695	3854	3019	148767	57
19.10.2017_5.49.45	7211	10765	463	16621	9259	5261	993	146792	56
19.10.2017_5.49.46	87287	38206	13296	1811	2603	3385	1731	33973	60
19.10.2017_5.49.47	2007771	134545	16562	58225	96755	28667	20115	40220	61
19.10.2017_5.49.48	2307844	47849	20118	5458	7541	3431	1429	30726	61
19.10.2017_5.49.49	209154	65342	16815	10804	4677	1731	869	12908	57
19.10.2017_5.49.50	25122	32319	20138	6264	5115	5525	2834	134226	48
19.10.2017_5.49.51	617500	23181	23196	9479	5156	4299	2229	160549	43
19.10.2017_5.49.52	5725	17372	6705	3705	7455	2993	2777	142567	44
19.10.2017_5.49.53	119853	48711	8584	4647	4641	6366	3128	139169	50
19.10.2017_5.49.54	46155	12133	30263	2870	9068	3641	2060	126557	60
19.10.2017_5.49.55	121959	10962	15321	4803	1508	1615	724	31744	60
19.10.2017_5.49.56	108249	20273	13417	33089	2474	9221	1669	126271	56
19.10.2017_5.49.57	142561	115131	9413	6062	6931	5976	11973	113040	57
19.10.2017_5.49.58	130214	113778	23231	7658	9718	10208	9289	189304	53
19.10.2017_5.49.59	36554	11941	9679	14847	29322	21417	12101	118362	51
19.10.2017_5.50.0	86843	15130	26927	8144	3238	1597	498	42135	66
19.10.2017_5.50.1	169192	172829	62788	39067	8290	17934	4415	148855	57
19.10.2017_5.50.2	227699	13328	5815	13470	4809	2457	689	38901	60
19.10.2017_5.50.3	112793	11656	9650	3560	2482	3425	333	29175	61
19.10.2017_5.50.4	178546	20735	8312	6754	6906	1824	591	25878	51
19.10.2017_5.50.5	93214	83880	18072	24099	22804	4976	3874	105954	54
19.10.2017_5.50.6	73074	12312	10560	5700	3597	1969	1176	58975	51
19.10.2017_5.50.7	36696	63268	102836	30596	13143	5927	2248	236602	51
19.10.2017_5.50.8	747064	61954	4420	23670	20914	11366	4763	274245	43
19.10.2017_5.50.9	107909	9829	8833	7272	5076	1740	616	43658	48
19.10.2017_5.50.10	83003	48491	11283	1184	1333	2390	505	32671	51
19.10.2017_5.50.11	147378	20016	841	11495	2440	1768	759	31640	48
19.10.2017_5.50.12	11955	33200	51847	34233	23233	5615	4279	101334	51
19.10.2017_5.50.13	40483	48437	31030	22220	14666	9647	1933	88467	44
19.10.2017_5.50.14	16389	18323	11397	5409	4109	5444	2848	75475	48
