date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_6.1.0	331056	55979	17925	11502	3825	2378	1274	130104	51
19.10.2017_6.1.1	237397	19774	6953	8702	13345	3671	1491	132762	50
19.10.2017_6.1.2	2670234	108160	87535	29232	19771	14342	4368	9230	66
19.10.2017_6.1.3	326780	1097877	256331	75571	152236	344856	77513	732033	66
19.10.2017_6.1.4	560832	1790384	117032	571760	90451	363021	193491	1013969	66
19.10.2017_6.1.5	279617	639027	179449	150024	90996	207585	147655	1750864	66
19.10.2017_6.1.6	834382	943336	206722	371992	136445	459563	162377	880793	66
19.10.2017_6.1.7	371131	954622	91959	241462	89916	407759	77684	1995419	66
19.10.2017_6.1.8	1019531	1411629	101951	618782	173018	255744	105635	1262013	66
