date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_5.41.56	7739	34711	9853	19685	22819	3535	2704	417968	44
19.10.2017_5.41.57	1116700	230759	27732	86674	23349	5453	3361	431698	50
19.10.2017_5.41.58	482686	65144	55999	15755	17060	4666	6976	351693	47
19.10.2017_5.41.59	159695	110737	61742	21260	15612	14669	2091	369004	48
19.10.2017_5.42.0	135452	61396	21881	7057	26151	5460	2352	304532	50
19.10.2017_5.42.1	122298	27656	62820	33474	11723	3677	5131	397953	50
19.10.2017_5.42.2	78403	144489	66115	48616	43962	3275	4030	342978	54
19.10.2017_5.42.3	68677	134916	71356	26265	26079	15712	7285	341755	47
19.10.2017_5.42.4	434156	201737	34899	33227	10885	3826	4088	390081	47
19.10.2017_5.42.5	100061	21213	21890	10398	4709	6979	3092	381680	35
19.10.2017_5.42.6	555534	19589	5887	9732	7285	6237	9217	378021	47
19.10.2017_5.42.7	67888	78007	15740	12711	26421	13656	5665	326543	64
19.10.2017_5.42.8	2012195	52090	29905	10300	3687	4356	4931	393859	69
19.10.2017_5.42.8	482001	29353	7198	1987	3887	2707	543	102359	80
19.10.2017_5.42.9	207506	24962	8902	11951	8192	6097	2622	419298	75
19.10.2017_5.42.10	58142	11563	26195	31198	18585	8233	4351	428447	74
19.10.2017_5.42.11	949552	46453	11190	59060	8929	5598	7301	364125	70
19.10.2017_5.42.12	369079	13676	13148	4339	2268	1143	1377	93994	70
19.10.2017_5.42.13	17899	6544	3836	17696	4350	3517	3188	332288	66
19.10.2017_5.42.14	66332	22207	5118	21889	13678	15133	6167	347555	66
19.10.2017_5.42.15	196870	191480	25814	26959	12008	8948	5997	386150	70
19.10.2017_5.42.16	166528	83497	75499	27770	11537	27778	5670	360257	70
19.10.2017_5.42.17	45827	60625	46483	36027	4739	10473	5179	83310	81
19.10.2017_5.42.18	395797	83481	27153	31219	17732	10079	7315	88549	78
19.10.2017_5.42.19	62514	18358	45717	10796	7996	8935	2359	82795	67
19.10.2017_5.42.20	35086	22704	19103	18117	8664	4468	4218	54225	75
19.10.2017_5.42.21	142649	17112	10772	4498	3177	2241	1792	10007	69
19.10.2017_5.42.22	240742	3025	2851	10491	4475	1020	1168	26349	69
