date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_3.13.40	1912897	1619589	274969	280394	142782	65050	15765	1586046	50
19.10.2017_3.13.41	540588	125659	13258	32755	5611	32698	2628	331599	30
19.10.2017_3.13.42	1314195	271805	93514	93512	6531	187321	5378	574521	54
19.10.2017_3.13.43	55736	296162	2126	79254	1946	69024	2510	216248	78
19.10.2017_3.13.44	127295	209281	11567	78046	521	67862	903	206982	78
19.10.2017_3.13.45	640594	808836	27397	296640	4901	278076	10308	862605	78
19.10.2017_3.13.46	170798	239154	1804	82336	568	70356	2553	220015	78
19.10.2017_3.13.47	38136	249840	730	79538	2497	71159	1590	252945	78
19.10.2017_3.13.48	286956	688333	9275	379107	4844	339075	11085	1128637	78
19.10.2017_3.13.49	1172740	390803	23671	484103	2993	286514	3107	1130780	87
19.10.2017_3.13.50	980810	282367	34601	300022	9425	340942	3771	1108975	87
19.10.2017_3.13.51	215606	329736	7716	129877	1756	67151	1844	283484	87
19.10.2017_3.13.51	214706	871159	23160	483013	5635	303098	2448	1174810	87
19.10.2017_3.13.52	1825779	779670	50523	360702	6215	284223	4342	1197676	87
19.10.2017_3.13.53	303602	644248	14124	491111	5024	325362	4922	1161831	87
19.10.2017_3.13.54	1273947	1710466	1180	403632	3577	227215	8534	874953	87
19.10.2017_3.13.55	20622	455478	1020	129059	640	64859	2840	244487	87
19.10.2017_3.13.56	343321	158740	16034	104567	2452	61799	1280	249203	87
19.10.2017_3.13.57	1183035	561250	21395	500383	5206	238510	3670	1023171	87
19.10.2017_3.13.58	36888	484731	816	112406	1377	69363	2566	262605	87
19.10.2017_3.13.59	136580	247795	70132	44962	6073	66134	1980	326695	87
19.10.2017_3.14.0	407620	182964	113335	14177	4026	67857	1136	306132	100
19.10.2017_3.14.1	849695	327855	276552	11256	8582	279014	6604	1166691	100
19.10.2017_3.14.2	1133909	842077	271463	67810	26852	264300	5873	1257907	100
19.10.2017_3.14.3	1063860	144879	117328	61405	22155	244546	5024	1258141	100
19.10.2017_3.14.4	1533581	1990243	40872	320346	8473	316071	4700	1281871	100
19.10.2017_3.14.5	1141343	737451	214467	84600	18183	122323	6844	1188252	100
19.10.2017_3.14.6	158420	236932	125887	7163	6170	65386	621	319394	77
19.10.2017_3.14.7	1766447	1078592	332182	55318	29188	234845	13227	1197499	67
19.10.2017_3.14.8	310127	55292	29872	58536	2832	37741	1169	299443	48
19.10.2017_3.14.9	1140870	964176	188701	34016	19575	166544	7070	1182496	56
19.10.2017_3.14.10	1665837	850712	189315	44602	13502	135586	4733	1199866	57
19.10.2017_3.14.11	1033428	186125	53546	20662	4002	38142	877	294586	53
19.10.2017_3.14.12	691582	735000	449488	13189	24968	192817	9217	1149876	53
19.10.2017_3.14.13	584898	716780	226585	23475	18371	296451	3624	1186394	44
19.10.2017_3.14.14	549107	274181	47947	11311	8679	51529	2711	274506	56
19.10.2017_3.14.15	285155	244659	28446	78083	21867	104762	1638	555634	57
19.10.2017_3.14.16	429136	660614	19366	258191	4979	249672	2916	989078	67
19.10.2017_3.14.17	222724	1639586	10082	460148	4358	271408	7114	973083	75
19.10.2017_3.14.18	202866	236017	863	89901	1678	87014	2494	263292	75
19.10.2017_3.14.19	1370178	199838	148032	108860	7878	242425	9039	764130	75
19.10.2017_3.14.20	118525	270915	4149	47184	1730	60653	3427	248071	81
19.10.2017_3.14.21	759628	791629	102955	233268	10325	192261	7132	979048	81
19.10.2017_3.14.22	707823	832822	18046	376721	2087	273618	3920	1067472	81
19.10.2017_3.14.23	1024303	717388	20810	583516	4853	295320	2298	1230322	81
19.10.2017_3.14.24	98855	336564	4249	108206	1610	67306	2324	299107	81
19.10.2017_3.14.25	989285	1431851	30876	665218	16662	253911	8850	1192886	81
19.10.2017_3.14.26	354585	677103	15857	326962	3019	350463	5809	1153000	81
19.10.2017_3.14.27	164114	458872	5612	381390	7252	341709	4765	1163399	91
19.10.2017_3.14.28	241010	198140	29620	100687	1067	68916	1276	272652	94
19.10.2017_3.14.29	836321	591277	117736	81344	9557	226194	3478	933108	94
19.10.2017_3.14.30	63703	295728	1393	78669	2744	73898	1478	258496	94
19.10.2017_3.14.31	529827	917965	8923	252482	2631	200307	6003	738112	94
19.10.2017_3.14.32	5543	30886	586	13953	96	13556	346	41683	81
19.10.2017_3.14.33	34907	121052	632	100694	1391	65050	1566	206419	81
19.10.2017_3.14.34	229929	168154	12572	78076	2315	64163	1386	217812	81
19.10.2017_3.14.35	152659	99031	3259	18871	857	37790	679	111488	81
19.10.2017_3.14.36	871144	342422	105070	51322	35348	23222	9977	12843	81
19.10.2017_3.14.37	75599	9548	14751	7221	23707	41387	28977	54459	81
19.10.2017_3.14.38	230481	103205	84283	60215	45854	34795	35110	92478	81
19.10.2017_3.14.39	1798489	471424	98419	82254	50115	192499	86778	753216	81
19.10.2017_3.14.40	148046	1338259	60782	530640	156053	337067	123583	1181816	81
19.10.2017_3.14.41	267811	294276	43877	70551	27794	57124	65762	230010	81
19.10.2017_3.14.42	828041	1097551	57450	147517	109028	409005	111501	1141736	81
