date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_4.50.36	2549659	1231533	146874	961225	269185	341800	143099	1185774	96
19.10.2017_4.50.37	800755	1004610	58515	53508	162292	95824	47785	366889	96
19.10.2017_4.50.38	30302	809461	36983	99903	63015	51230	124243	407583	96
19.10.2017_4.50.39	85565	919234	60984	82628	58462	39390	96710	318765	96
19.10.2017_4.50.40	201875	367441	29547	199953	31833	124042	27109	709583	96
19.10.2017_4.50.41	680171	1493429	139864	940992	574089	228517	409886	784792	96
19.10.2017_4.50.42	135995	567711	13709	93036	35290	87746	36940	377512	96
19.10.2017_4.50.43	148524	680729	18852	160719	22206	94864	28941	584629	96
19.10.2017_4.50.44	141415	585106	14530	150169	3089	116088	1302	662547	96
19.10.2017_4.50.45	182310	289567	3533	107738	365	65493	1614	396099	96
19.10.2017_4.50.46	113083	395735	7904	74445	2175	55634	675	396203	96
19.10.2017_4.50.47	123106	426222	45336	74688	41766	44406	53105	297611	96
19.10.2017_4.50.48	141009	407738	35312	86069	14403	77974	17873	428539	96
19.10.2017_4.50.49	98033	629473	39114	91135	12382	85763	15289	385523	96
19.10.2017_4.50.50	28359	474650	50248	75924	9195	64842	19201	324708	96
19.10.2017_4.50.51	247704	995325	11905	270447	11844	446606	6681	2028051	96
19.10.2017_4.50.52	819021	1338801	29291	484582	10335	356389	4201	2069767	96
19.10.2017_4.50.53	311580	1044361	38399	436529	12142	335606	4196	2017538	96
19.10.2017_4.50.54	568533	808976	24342	258357	4004	448098	4042	1974958	96
19.10.2017_4.50.55	208360	122310	9158	97860	1284	125430	1182	540547	96
19.10.2017_4.50.56	1197243	1058627	62850	426203	2729	397871	4255	1971396	96
19.10.2017_4.50.57	542311	832850	14151	346770	5405	359156	3079	1717321	96
19.10.2017_4.50.58	402117	910077	78752	241508	7182	209794	4495	1652847	96
19.10.2017_4.50.59	1009936	774155	110701	165386	14658	286611	3361	1582776	96
19.10.2017_4.51.0	402408	362525	43819	21104	11973	19469	54317	211264	96
19.10.2017_4.51.1	166791	49106	11840	197063	38513	53843	51182	38178	96
19.10.2017_4.51.2	433160	516133	133850	570905	102575	211126	227577	516403	96
19.10.2017_4.51.3	256811	116551	166195	417445	133479	755495	357036	494554	96
19.10.2017_4.51.4	1411511	573580	151772	831562	123835	155901	206197	270481	96
19.10.2017_4.51.5	992122	635906	224898	953687	86197	104231	388232	181724	96
