date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_5.19.12	47178	72461	3114	61554	1125	45400	1031	211070	41
19.10.2017_5.19.13	238660	303107	55750	79148	6530	60567	2377	541978	53
19.10.2017_5.19.14	835256	565350	70787	106195	2744	143442	1966	517024	47
19.10.2017_5.19.15	132141	215407	3560	84637	997	59779	2328	274333	47
19.10.2017_5.19.16	251122	244938	8969	75579	2210	62001	1163	280277	47
19.10.2017_5.19.17	892346	738908	15505	431713	2826	315821	4242	1219191	47
19.10.2017_5.19.18	1180757	722666	55614	367975	726	258370	4176	1177389	47
19.10.2017_5.19.19	1068258	725635	8214	357067	8053	266030	5467	1091365	47
19.10.2017_5.19.20	307481	1153171	18759	508472	3524	223430	2641	1080398	47
19.10.2017_5.19.21	33538	681998	5766	221577	2385	331015	5709	1041034	47
19.10.2017_5.19.22	17950	674784	1369	260011	8107	298904	9841	1077885	57
19.10.2017_5.19.23	1420647	589731	47189	181084	6815	243757	2807	1004736	57
19.10.2017_5.19.24	424263	493564	5771	320263	4643	215353	4790	958108	57
19.10.2017_5.19.25	807150	1190033	14915	438337	3630	172866	5249	861628	74
19.10.2017_5.19.26	444717	636867	19392	238548	6151	194928	5496	829879	74
19.10.2017_5.19.27	367547	957749	35842	238050	4102	224467	6637	801164	75
19.10.2017_5.19.28	1153392	169880	33760	286128	5251	192154	4686	775368	57
19.10.2017_5.19.29	412458	202353	132839	142468	33336	126278	67588	348155	63
19.10.2017_5.19.30	373969	447553	78185	249172	157208	339528	313900	173882	63
19.10.2017_5.19.31	412416	98269	63668	19284	24609	29645	48770	118750	63
19.10.2017_5.19.32	141480	29158	24755	23555	103614	62111	35635	114985	63
19.10.2017_5.19.33	128412	111441	100142	17430	62998	33328	32496	69160	63
19.10.2017_5.19.34	638258	244486	300615	129650	117107	304233	153327	337248	63
19.10.2017_5.19.35	240679	115453	24300	33655	26404	46641	29728	105874	63
