date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_3.32.45	1723976	48735	130522	11204	52519	25236	11545	50338	38
19.10.2017_3.32.46	591963	73612	20228	4559	11822	3570	2083	8805	51
19.10.2017_3.32.47	337347	34527	7541	6629	3284	13387	12021	7581	41
19.10.2017_3.32.48	1096349	344748	48594	16485	28027	31271	28307	37126	60
19.10.2017_3.32.49	1994523	323179	30623	19018	60354	23322	13240	24740	74
19.10.2017_3.32.50	1543498	227344	127155	26100	18448	25942	25984	14640	64
19.10.2017_3.32.51	197906	23814	2932	1834	1828	1627	883	1586	70
19.10.2017_3.32.52	240186	33596	7586	11671	3053	3202	2417	5385	54
19.10.2017_3.32.53	195089	19387	8341	2183	4510	2917	1153	2097	53
19.10.2017_3.32.54	1138532	63296	30677	13878	18883	21194	14199	26538	56
19.10.2017_3.32.55	387668	54183	5303	9054	9548	13814	12896	20988	67
19.10.2017_3.32.56	222298	11522	14954	1491	2227	5153	2329	9279	80
19.10.2017_3.32.57	81238	34558	13213	5741	9489	5284	5374	22521	91
19.10.2017_3.32.58	1023622	461742	91225	15647	32174	20983	13958	32912	91
19.10.2017_3.32.59	361431	183855	8332	9397	6567	9377	7233	9652	75
19.10.2017_3.33.0	237640	54637	7495	14869	3786	4496	4941	10052	60
19.10.2017_3.33.1	1287853	449056	41061	21066	14972	44693	10278	12612	48
19.10.2017_3.33.2	109553	9987	59799	12214	31860	5838	18029	19379	47
19.10.2017_3.33.3	99605	10648	15149	2200	8171	5975	3361	7623	51
19.10.2017_3.33.4	2215460	219056	153500	86457	18755	25083	20605	23016	67
19.10.2017_3.33.5	102075	49587	5554	1214	4213	3648	949	4955	66
19.10.2017_3.33.6	219701	34863	9215	13151	6537	3825	3291	6241	64
19.10.2017_3.33.7	256243	33250	20513	444	19736	3464	5663	29418	64
19.10.2017_3.33.8	605056	160356	34316	11497	11379	5990	5957	52919	51
19.10.2017_3.33.9	1736099	143101	56004	36861	21996	29092	15490	288380	47
19.10.2017_3.33.10	704685	74937	17668	2951	3383	1313	1402	10437	51
19.10.2017_3.33.11	494650	79460	6504	34859	18881	11064	9506	29315	37
19.10.2017_3.33.12	290695	15842	7460	10861	8776	3812	2357	5921	40
19.10.2017_3.33.13	223047	21449	4080	8670	21730	3208	1880	10562	53
19.10.2017_3.33.14	118555	17565	1068	2940	1803	3848	995	7046	50
19.10.2017_3.33.15	1395538	214829	55239	21335	21808	17137	8265	24974	77
19.10.2017_3.33.16	448789	53321	23859	27071	34994	8165	9714	29833	74
19.10.2017_3.33.17	458247	369910	181099	70093	106722	18565	12618	30368	69
19.10.2017_3.33.18	1346380	77448	28277	50258	46955	25872	15785	24993	60
19.10.2017_3.33.19	6821	49003	11677	10094	7628	8670	7469	24870	57
19.10.2017_3.33.20	291061	28006	2078	5494	5624	5297	1362	5473	64
19.10.2017_3.33.21	30028	28122	17094	20828	4406	4864	6519	19897	70
19.10.2017_3.33.22	132293	53094	8935	31891	10499	22839	11644	41683	80
19.10.2017_3.33.23	134696	10478	5232	1605	693	2020	1852	2548	83
19.10.2017_3.33.24	206325	11888	733	1645	1900	1269	683	1057	83
19.10.2017_3.33.25	317658	323235	11844	17237	10396	3975	6815	10204	77
19.10.2017_3.33.26	835432	121249	26676	32641	20800	10523	9171	11249	57
19.10.2017_3.33.27	210644	151510	10732	18286	29381	16591	9686	12438	43
19.10.2017_3.33.28	542025	90871	52301	14880	33788	7817	11585	21004	41
19.10.2017_3.33.29	140258	93025	4338	24316	18782	15535	4164	16273	37
19.10.2017_3.33.30	109245	1414	2592	2734	2513	2240	453	1513	61
19.10.2017_3.33.31	55286	35829	14112	1376	14120	2778	2697	4464	80
19.10.2017_3.33.32	366334	98831	40109	12352	20066	7291	6638	8348	74
19.10.2017_3.33.33	111809	60133	17716	7912	13
