date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_3.18.36	2284783	644704	279209	16966	4286	313107	11378	689439	60
19.10.2017_3.18.37	1117092	140554	38271	8585	6035	37083	922	126292	66
19.10.2017_3.18.38	173454	98778	10583	11004	4439	52083	1934	120201	83
19.10.2017_3.18.39	1644256	148718	17123	11930	50523	200975	12209	598652	83
19.10.2017_3.18.40	574373	265500	7751	70380	38270	26709	6540	131094	100
19.10.2017_3.18.41	319742	70609	30816	4525	3530	2435	981	39601	75
19.10.2017_3.18.42	338160	24227	7833	14542	4259	3707	1464	32287	50
19.10.2017_3.18.43	3252312	374828	137365	54144	40288	55562	6863	320070	20
19.10.2017_3.18.44	1149914	109773	104427	41618	28009	82576	6311	413565	1
19.10.2017_3.18.45	69590	31832	30422	9823	1859	53319	1701	118999	21
19.10.2017_3.18.46	1133978	131135	18188	36972	5258	21856	3107	138359	60
19.10.2017_3.18.47	937779	80898	51664	8046	6733	37589	2366	140162	63
19.10.2017_3.18.48	580768	102251	22647	10872	3757	27238	1190	116727	75
19.10.2017_3.18.49	231569	100667	36879	16694	30795	22064	6958	126584	67
19.10.2017_3.18.50	1723705	188847	191879	21678	45335	92763	11685	586163	50
19.10.2017_3.18.51	512028	799956	96316	251114	28756	122955	13213	603878	57
19.10.2017_3.18.52	593326	290682	52371	59409	8339	89827	3719	633375	48
19.10.2017_3.18.53	169338	85570	61114	2375	7048	35710	1469	139087	50
19.10.2017_3.18.54	1366692	482193	188556	28664	15035	121377	2637	614768	54
19.10.2017_3.18.55	1671450	160228	40915	55317	17400	99027	4114	629212	51
19.10.2017_3.18.56	837250	492776	230468	40748	7056	155352	5466	661617	64
19.10.2017_3.18.57	1154609	527391	135155	24109	12559	142802	2771	651300	64
19.10.2017_3.18.58	704497	560330	172665	19708	24197	167659	2504	658313	64
19.10.2017_3.18.59	1320548	552149	177456	70776	53845	54017	12877	563794	66
19.10.2017_3.19.0	421460	78873	123182	13978	21306	28890	15740	207477	48
19.10.2017_3.19.1	96720	23898	16350	5901	4260	2402	994	28693	43
19.10.2017_3.19.2	2065042	488274	74424	67350	69957	37426	24042	558256	27
19.10.2017_3.19.3	1218991	278922	27013	17381	17147	4612	4083	106456	14
19.10.2017_3.19.4	1464190	142497	133795	19921	9707	8896	4510	100015	3
19.10.2017_3.19.5	42957	5583	6627	1928	1203	853	109	9672	1
19.10.2017_3.19.6	1527387	500575	116272	54489	56861	27310	6644	594928	1
19.10.2017_3.19.7	2131730	160610	144785	16352	64370	21153	9060	560277	1
19.10.2017_3.19.8	442068	164971	32888	18620	6863	18641	1672	209678	8
19.10.2017_3.19.9	785844	366587	113743	16815	8929	87163	4791	572364	20
19.10.2017_3.19.10	1967766	612183	190493	51536	12008	145985	4535	648493	27
19.10.2017_3.19.11	1746401	317347	307020	162726	203783	99232	36310	337930	41
19.10.2017_3.19.12	939462	114051	31388	51779	74125	37905	28622	30130	48
19.10.2017_3.19.13	429085	980941	45282	345053	324945	240990	106594	129456	48
19.10.2017_3.19.14	463345	432956	4609	699473	116966	276276	71765	738689	48
19.10.2017_3.19.15	531679	1569035	77764	1206344	70949	240530	188394	249849	48
19.10.2017_3.19.16	791736	445495	92920	700625	69742	267400	101458	567661	48
19.10.2017_3.19.17	599736	487709	44982	218028	36573	986895	141957	738979	48
