date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
16.10.2017_4.37.8	276242	22148	8256	12863	2539	3046	830	55667	54
16.10.2017_4.37.9	1985043	235757	40210	13980	19046	14626	3051	193525	67
16.10.2017_4.37.10	421764	20969	19832	5489	5427	4249	708	60447	74
16.10.2017_4.37.11	30398	5258	1417	839	783	390	223	10507	96
16.10.2017_4.37.12	128850	32425	20179	8315	1413	1222	385	45426	84
16.10.2017_4.37.13	1028124	17059	67618	13342	9766	19813	3281	211869	54
16.10.2017_4.37.14	194683	123313	12017	5055	6916	12332	1416	94201	74
16.10.2017_4.37.15	557644	107174	5833	14447	9988	5035	603	67041	57
16.10.2017_4.37.16	890753	51396	1386	16819	5187	3658	383	61471	44
16.10.2017_4.37.17	19681	8497	2003	6912	1188	1613	270	15839	63
16.10.2017_4.37.18	1767330	148960	13295	12204	3219	4218	322	76380	48
16.10.2017_4.37.19	154145	17894	10822	2044	1169	1005	175	22170	26
16.10.2017_4.37.20	46272	6842	6368	1015	1254	1355	364	17200	23
16.10.2017_4.37.21	556228	47169	21270	11213	1447	10261	770	67642	35
16.10.2017_4.37.22	75964	97279	25185	2716	7437	5159	1288	68287	41
16.10.2017_4.37.23	423604	57168	14036	9005	2723	12755	1830	70325	50
16.10.2017_4.37.24	95986	54132	16042	3237	4007	10091	617	62174	80
16.10.2017_4.37.25	1955572	233085	22581	42027	26406	9257	3275	193865	87
16.10.2017_4.37.26	74815	9260	5221	1013	905	356	257	11921	60
16.10.2017_4.37.27	235124	80333	24389	8643	6061	1981	348	52557	48
16.10.2017_4.37.28	1990690	452035	46381	112667	104246	49640	15489	695515	10
16.10.2017_4.37.29	50984	20940	1964	1162	1292	1475	212	14311	1
16.10.2017_4.37.30	260179	196544	9955	26328	12517	19356	3885	243459	13
16.10.2017_4.37.31	172105	4162	3530	1129	888	720	141	15698	37
16.10.2017_4.37.32	437562	520485	41912	31551	29894	16920	6025	283258	61
16.10.2017_4.37.33	2250281	592929	189614	168465	65041	43963	15600	1148720	43
16.10.2017_4.37.34	174999	2670	1926	2757	1030	1075	308	15744	38
16.10.2017_4.37.35	896895	33345	3932	5506	7620	2629	600	60448	48
16.10.2017_4.37.36	2130145	727937	21824	193086	62307	60145	7913	1199218	43
16.10.2017_4.37.37	1529812	307277	51038	45704	53884	7639	2736	270588	57
16.10.2017_4.37.38	257619	10681	496	6324	1949	9447	681	66156	43
16.10.2017_4.37.39	1328922	106577	15519	30269	11792	65451	4940	323394	50
16.10.2017_4.37.40	455911	160275	10768	48845	30700	25440	6354	331683	67
16.10.2017_4.37.41	478416	25209	11362	5769	2232	7585	646	67510	69
16.10.2017_4.37.42	286477	75860	43995	7458	6145	11946	409	115345	97
16.10.2017_4.37.43	39409	17528	8056	1000	1354	2603	176	29129	77
16.10.2017_4.37.44	62618	58961	14119	20208	4708	11127	1689	118974	57
16.10.2017_4.37.45	1650776	204760	38778	76785	39258	71722	7626	425414	57
16.10.2017_4.37.46	735417	230485	35896	26422	18453	18260	7356	146836	61
16.10.2017_4.37.47	1189771	760866	23252	34118	20110	37993	10382	567696	56
16.10.2017_4.37.48	217643	154038	16645	34275	27873	30063	9556	565863	47
16.10.2017_4.37.49	1311209	28436	24230	9622	5209	10405	1306	131182	50
16.10.2017_4.37.50	658983	293135	59886	52128	13069	54948	4591	322391	47
16.10.2017_4.37.51	1228589	831892	226876	75602	32931	210182	7919	1341087	56
16.10.2017_4.37.52	169010	275453	100059	9364	3190	69914	2564	323043	74
16.10.2017_4.37.53	396767	435629	21980	63728	7370	151448	4527	371570	77
16.10.2017_4.37.54	862255	1073593	469085	41214	17990	307524	11395	1230804	83
16.10.2017_4.37.55	494091	152543	133067	11236	6169	55607	3179	255857	88
16.10.2017_4.37.56	180784	80582	64042	3868	1951	53586	1812	245186	88
16.10.2017_4.37.57	767598	328827	69671	40986	23762	113436	3570	926256	96
16.10.2017_4.37.58	2301655	391059	113904	22620	23915	126073	2941	862653	93
16.10.2017_4.37.59	593654	98083	115730	4775	2520	65714	1839	242560	94
16.10.2017_4.38.0	1628221	369014	91588	23528	31715	225879	3779	901243	100
16.10.2017_4.38.1	1801547	142584	68822	93902	25429	124487	5246	903484	100
16.10.2017_4.38.2	137071	42725	13048	1239	317	15627	357	53629	100
16.10.2017_4.38.3	404200	290294	287530	63837	12450	163543	6738	931094	100
16.10.2017_4.38.4	1202006	340220	170002	103564	13421	139874	6285	858373	100
