date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_5.44.45	60920	37308	33394	4177	1403	9574	590	130205	53
19.10.2017_5.44.46	20625	7529	9192	1410	1192	3941	79	35594	50
19.10.2017_5.44.47	15320	6109	9740	275	1118	4420	44	37867	54
19.10.2017_5.44.48	205361	48875	16647	6394	1888	16117	304	144071	61
19.10.2017_5.44.49	114874	12444	14991	1786	1405	2149	127	37973	53
19.10.2017_5.44.49	533743	114392	48966	74148	15297	57146	1616	629569	44
19.10.2017_5.44.50	163190	89735	18660	4139	2575	20466	1212	186977	44
19.10.2017_5.44.51	43967	61625	13290	11643	3069	13453	898	175555	38
19.10.2017_5.44.52	185146	56678	35090	6319	2419	14065	366	181306	34
19.10.2017_5.44.53	1831195	104325	61751	4191	6634	113870	4208	858890	43
19.10.2017_5.44.54	1179747	830510	267137	4838	10563	225014	4364	899828	57
19.10.2017_5.44.55	1292161	402326	356139	72095	27216	92490	3330	858695	60
19.10.2017_5.44.56	549816	184818	35391	3441	5292	52954	1152	216000	54
19.10.2017_5.44.57	617783	421320	233475	3362	6909	205803	2942	880239	61
19.10.2017_5.44.58	57504	8535	2682	1819	832	4077	248	54147	50
19.10.2017_5.44.59	1319587	377516	260107	3190	4148	190123	1970	908082	57
19.10.2017_5.45.0	246717	84035	11718	5267	4856	26288	423	223290	70
19.10.2017_5.45.1	14885	6409	2283	604	1200	3112	173	53839	74
19.10.2017_5.45.2	1032297	227677	43163	17003	27747	19817	4104	489699	75
19.10.2017_5.45.3	87296	27832	1406	999	510	1351	94	28366	51
19.10.2017_5.45.4	224238	25881	9256	8870	1176	9073	509	129082	23
19.10.2017_5.45.5	565715	63532	31255	45424	22057	54153	1395	562704	21
19.10.2017_5.45.6	36301	10064	1147	1659	2103	1417	63	34879	23
19.10.2017_5.45.7	59739	23161	894	3468	2771	1802	147	33695	30
19.10.2017_5.45.8	202626	7558	8505	1734	1261	2456	189	35679	37
19.10.2017_5.45.9	153023	20774	3439	15620	3852	6599	435	183200	30
19.10.2017_5.45.10	251245	24436	2102	5692	1142	1902	549	30308	20
19.10.2017_5.45.11	28699	16757	9211	1236	732	5001	227	49916	10
19.10.2017_5.45.12	80674	14057	12218	3437	2932	33992	572	249590	23
19.10.2017_5.45.13	220911	74123	37419	5813	5945	18445	276	220928	48
19.10.2017_5.45.14	270418	220346	27926	12590	13208	58199	1236	644702	47
19.10.2017_5.45.15	117170	97274	28512	3210	4817	14110	1142	160692	64
19.10.2017_5.45.16	920290	420312	106543	19069	21496	22444	3634	358366	54
19.10.2017_5.45.17	576260	583019	160279	426322	91625	189225	64856	443949	13
19.10.2017_5.45.18	15973	555982	9765	111888	23636	41645	48676	167475	13
19.10.2017_5.45.19	923657	1202973	210899	280438	176651	671195	170815	1189377	13
19.10.2017_5.45.20	804454	978135	114776	377952	162794	413710	378245	1070913	13
19.10.2017_5.45.21	513408	1484994	52201	561960	69525	414283	409509	906459	13
19.10.2017_5.45.22	624081	610963	29910	627206	96701	535299	327741	1008494	13
