date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_3.45.45	651481	1225746	428025	18589	9410	206264	9129	2095386	48
19.10.2017_3.45.46	620072	91860	110350	14107	2823	38556	883	362767	57
19.10.2017_3.45.47	666494	719628	201523	54994	12338	196555	4239	1539233	70
19.10.2017_3.45.48	840383	691321	237659	7476	6518	252752	7791	1430673	87
19.10.2017_3.45.49	1731511	849888	344016	19556	32938	178877	2783	1423216	96
19.10.2017_3.45.50	1350409	497330	114808	16206	6315	97792	2409	1292683	97
19.10.2017_3.45.51	1955544	777658	140073	22476	19091	261360	4657	1273774	96
19.10.2017_3.45.52	1834305	535647	297116	8762	14988	228170	4554	1336708	100
19.10.2017_3.45.53	963437	596664	215905	21894	8392	193698	1751	1174947	100
19.10.2017_3.45.54	2049016	203344	81673	76101	13826	100389	2560	1094975	100
19.10.2017_3.45.55	1516422	779791	34783	15313	6943	200193	2166	1164954	100
19.10.2017_3.45.56	1220285	502900	167451	38195	12302	96892	4039	886813	100
19.10.2017_3.45.57	54229	102700	6706	2924	1969	28873	464	204508	100
19.10.2017_3.45.58	1531210	295840	234788	13698	12394	134678	3874	896544	100
19.10.2017_3.45.59	1596303	125662	138853	73895	16775	77631	2764	912942	100
19.10.2017_3.46.0	781815	1560412	175500	62789	50824	216721	14035	1472538	100
19.10.2017_3.46.1	1530554	22719	21765	7310	3843	3334	673	95088	100
19.10.2017_3.46.2	1417980	638950	199667	126347	23722	81677	9908	1096147	87
19.10.2017_3.46.3	677891	79119	101230	8948	7889	36964	1230	325172	74
19.10.2017_3.46.4	1450251	762474	300198	177695	27711	177118	6497	1840853	70
19.10.2017_3.46.5	465569	197159	9802	14839	10232	11282	4016	214875	74
19.10.2017_3.46.6	416452	88098	43887	6570	16289	34015	5401	278958	69
19.10.2017_3.46.7	427309	691777	49951	54804	32604	34140	3169	571223	83
19.10.2017_3.46.8	389758	738722	22910	144788	27794	45003	41699	883732	64
19.10.2017_3.46.9	1452566	197050	115638	39810	8040	143181	27872	829844	51
19.10.2017_3.46.10	277216	114502	61309	39648	17499	14116	8276	243304	77
19.10.2017_3.46.11	616685	731012	213231	4073	8058	103791	16980	1176404	60
19.10.2017_3.46.12	589090	55682	36856	56477	4898	18370	1982	113743	69
19.10.2017_3.46.13	261414	34194	6256	3581	6465	2590	947	84258	80
19.10.2017_3.46.14	422580	1117752	129872	137716	22618	84706	9512	1226606	57
19.10.2017_3.46.15	85342	41704	28093	14958	1008	27691	610	202355	57
19.10.2017_3.46.16	145547	150047	123222	11842	10255	89214	1239	792003	70
19.10.2017_3.46.17	329520	682782	122500	81283	4548	105628	1757	769927	83
19.10.2017_3.46.18	736859	371788	76767	46814	10943	70557	1413	667672	90
19.10.2017_3.46.19	1961757	234591	59977	17255	41006	73056	2205	647583	100
19.10.2017_3.46.20	196788	115869	26822	1378	6896	9559	647	151156	96
19.10.2017_3.46.21	550374	219663	67404	21809	6949	73336	2152	571465	78
19.10.2017_3.46.22	945308	183791	51056	8183	7192	77249	1937	590525	87
19.10.2017_3.46.23	298270	414996	112084	24554	4625	91543	2356	616208	96
19.10.2017_3.46.24	480648	120726	62424	25138	7079	51106	1829	589532	93
19.10.2017_3.46.25	2173796	490388	55051	94428	23511	104935	2809	587531	100
19.10.2017_3.46.26	105645	256000	110722	46652	3807	73692	1937	685601	100
19.10.2017_3.46.27	155771	198154	169038	23361	10279	70184	2475	628641	100
19.10.2017_3.46.28	101098	107876	2156	31569	1072	16314	807	131294	97
19.10.2017_3.46.29	361197	206900	86171	20734	19195	58984	1281	535504	94
19.10.2017_3.46.30	1203669	1923821	253180	87595	14811	157673	4762	2174607	91
19.10.2017_3.46.31	446180	152777	71945	24148	5682	88740	1563	550974	80
19.10.2017_3.46.32	642110	162989	60243	58103	16519	55687	1813	559463	87
19.10.2017_3.46.33	291793	240226	135208	6406	3166	90460	1161	554070	93
19.10.2017_3.46.34	406181	136350	77464	38217	3638	64614	1472	583319	96
19.10.2017_3.46.35	562393	252770	89480	13627	7659	56393	2675	602691	100
19.10.2017_3.46.36	373572	397078	53450	52247	10355	73484	1960	607987	100
19.10.2017_3.46.37	187090	229367	130660	20032	2337	52580	1456	557804	94
19.10.2017_3.46.38	1240984	840232	397856	28616	11215	127366	6390	1783550	87
19.10.2017_3.46.39	588227	148263	39073	8508	2938	71639	1162	564838	77
19.10.2017_3.46.40	2260987	1233318	344498	24247	15128	285891	3218	1649139	87
19.10.2017_3.46.41	236920	155949	36329	36686	7929	42020	1941	317602	90
19.10.2017_3.46.42	827439	87225	139812	41931	11986	44233	2973	565410	94
19.10.2017_3.46.43	1364695	1315916	200478	170560	30838	233280	19362	2005411	97
19.10.2017_3.46.44	1076345	132263	117486	29503	17593	53281	13620	418182	88
19.10.2017_3.46.45	527457	109058	2729	91468	5519	60001	2071	413990	88
19.10.2017_3.46.46	1179391	208923	10212	101121	5605	23317	3868	323018	93
19.10.2017_3.46.47	1876208	799476	424867	13346	33999	267906	5167	1751598	83
19.10.2017_3.46.48	1450128	623902	71544	106284	30899	303140	11352	1703225	88
19.10.2017_3.46.49	2064010	2690621	324746	223634	79642	260341	20422	1450255	97
19.10.2017_3.46.50	198824	329708	72017	57438	26252	81069	8305	484847	97
19.10.2017_3.46.51	2094549	529923	202401	310308	596519	610326	145766	1859102	91
19.10.2017_3.46.52	1267951	468261	163082	147803	72598	180661	7362	1667568	100
19.10.2017_3.46.53	808044	1159822	321568	101952	24398	206064	8621	1689403	100
19.10.2017_3.46.54	280193	140897	35985	21751	22377	52396	568	412363	94
19.10.2017_3.46.55	1011909	624245	373539	67398	160748	337212	28120	1580535	96
19.10.2017_3.46.56	282481	65164	25885	6228	10941	15249	2056	107402	90
19.10.2017_3.46.57	1000923	336836	71051	9555	15691	42453	8480	335506	90
19.10.2017_3.46.58	477890	245427	17566	51713	31412	70057	6787	395283	80
19.10.2017_3.46.59	641917	73651	36551	13270	6659	20249	3185	100557	87
19.10.2017_3.47.0	792573	532572	316729	42238	5620	196643	4064	1537105	87
19.10.2017_3.47.1	1084136	520267	500447	71633	125422	245350	24628	1345909	87
19.10.2017_3.47.2	1384576	542844	90059	130102	160719	81491	9166	318665	81
19.10.2017_3.47.3	1224644	54078	75641	32211	8910	15510	3499	357557	81
19.10.2017_3.47.4	1401530	1050583	86120	43303	104470	173432	24659	1346687	81
19.10.2017_3.47.5	1391096	79530	41994	51359	18098	42744	5530	386395	75
19.10.2017_3.47.6	1629382	1041092	59562	8866	18332	141267	3626	1136044	75
19.10.2017_3.47.7	689948	170892	65505	4235	8611	11533	1515	292493	67
19.10.2017_3.47.8	1625142	119205	30395	4082	22494	4272	782	263401	57
19.10.2017_3.47.9	1620059	60110	23800	46292	23601	14748	2057	408180	40
19.10.2017_3.47.10	1095107	48952	3734	7780	3999	6060	408	98718	30
19.10.2017_3.47.11	1998776	189148	18811	14695	18425	13557	789	395701	27
19.10.2017_3.47.12	418546	26802	2284	6436	6225	7128	202	104230	30
19.10.2017_3.47.13	984399	2037742	256595	126887	22504	81223	12406	1562683	53
19.10.2017_3.47.14	197592	9921	276	1103	1251	780	62	23027	40
19.10.2017_3.47.15	408006	322066	30692	128063	10987	9203	1613	324670	35
19.10.2017_3.47.16	271013	14374	6340	6763	2879	2937	728	88551	21
19.10.2017_3.47.17	182498	72324	12279	8034	2045	4360	777	100595	13
19.10.2017_3.47.18	217043	48212	5546	5588	5226	6765	366	101909	17
19.10.2017_3.47.19	86606	4516	4839	2091	1329	1053	299	22673	24
19.10.2017_3.47.20	102652	81542	5778	7598	3246	3804	189	104766	43
19.10.2017_3.47.21	241097	231302	30192	32399	11961	19434	1632	394164	34
19.10.2017_3.47.22	2505436	117978	47432	12943	16350	10989	3170	373136	37
19.10.2017_3.47.23	717663	81145	48367	49328	17633	27028	1409	375864	29
19.10.2017_3.47.24	265026	36414	4781	9915	8351	3958	592	91270	37
19.10.2017_3.47.25	231289	156988	2808	6593	2374	3739	938	90666	43
19.10.2017_3.47.26	327424	24986	21222	6344	6043	1569	548	95681	30
19.10.2017_3.47.27	1086970	1337317	212580	174070	53076	64436	6594	1431207	23
19.10.2017_3.47.28	952773	32825	4865	4635	4792	2401	466	93457	7
19.10.2017_3.47.29	121431	30626	6177	3962	4489	4580	916	95752	1
