date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_5.8.59	164649	44876	86421	25165	4497	11998	4439	30187	84
19.10.2017_5.9.0	119720	51183	7174	10440	9695	11408	3708	63804	80
19.10.2017_5.9.1	893781	32653	20916	42055	46197	50452	41992	42015	78
19.10.2017_5.9.2	3	1	0	0	0	0	2	0	78
19.10.2017_5.9.3	0	0	0	0	0	1	0	0	78
19.10.2017_5.9.4	99	29	15	11	17	15	27	384	78
19.10.2017_5.9.5	629236	83787	76245	92679	69051	73936	154150	146890	78
19.10.2017_5.9.6	895957	197980	78119	308543	61024	184920	208446	578801	78
